
 20230506	22:40:39 	862cdaff-b652-4b98-b55d-d04b8f9d94e9 	/	GET 
 20230506	22:40:39 	a0424f25-6331-4723-88b1-ad48291c2892 	/public/style.css	GET 
 20230506	22:40:39 	b6433d9f-c72d-4cb4-ab90-69109b9a542f 	/public/rubber-duck.png	GET 
 20230506	22:40:39 	c569a02f-afa8-4bcb-a42f-90cedb5480db 	/favicon.ico	GET 
 20230506	22:42:25 	5f78e6bb-dd49-4cbb-b97d-453eb31268ed 	/	GET 
 20230506	22:43:36 	535638e4-b196-42b6-b329-734560e1366c 	/	GET 
 20230506	22:43:36 	dc155518-ae2d-4e54-b790-eedacf5d1fe1 	/public/style.css	GET 
 20230506	22:43:36 	12384d23-c48a-44a8-8d04-c6848ca6cf49 	/public/rubber-duck.png	GET 
 20230506	22:59:43 	a44f976c-ece3-4545-8bbd-b8518129794b 	/about	GET 
 20230506	22:59:43 	a8281aab-2e65-4582-bbc3-4143931d65fe 	/style.css	GET 
 20230506	23:02:01 	6752a5c3-2400-4306-8b9c-c8f99e8a419d 	/about	GET 
 20230506	23:02:01 	ea3de8ee-380d-448e-a1ed-d1e39eed376c 	/public/style.css	GET 
 20230506	23:02:17 	fa8760d9-31c1-454f-99a0-8e887ba66388 	/	GET 
 20230506	23:02:17 	a2df0d72-195a-4c98-a51c-5cc1069a526d 	/public/style.css	GET 
 20230506	23:02:17 	45e09e68-e339-43f2-b457-30f0ea60a679 	/public/rubber-duck.png	GET 
 20230506	23:03:00 	216af1eb-36b7-45db-b623-a449af56fdba 	/public/style.css	GET 
 20230506	23:03:08 	556d429a-7a11-4896-ba1f-689a65752f0d 	/about	GET 
 20230506	23:03:08 	09ee9fce-f2b1-4310-8cbf-34d19c1106de 	/public/style.css	GET 
 20230506	23:03:39 	7c704885-2cfe-48c9-b12f-eeed210fb4a1 	/public/style.css	GET 
 20230506	23:03:41 	a809af53-b42c-4ec4-a6ab-ad90a9db9643 	/	GET 
 20230506	23:03:41 	6d2375d6-92cc-46f2-85ab-00039e016594 	/public/style.css	GET 
 20230506	23:03:41 	d496436b-6b18-4b38-9585-3ecf4d555a31 	/public/rubber-duck.png	GET 
 20230615	03:36:36 	33e40201-eca7-419f-abb2-263c22d3b60d 	/	GET 
 20230615	03:36:37 	c4baf6bb-f6a0-426f-9676-a956ee2852bd 	/public/style.css	GET 
 20230615	03:36:37 	3c403c6d-df1f-4e7c-a387-1e5d56f5117b 	/server.jpg	GET 
 20230615	03:36:42 	5502e5a5-3c44-4458-bfe5-72bdf22582f6 	/about.html	GET 
 20230615	03:36:42 	37cf44ef-0468-465d-8e47-75f1d117074b 	/public/style.css	GET 
 20230615	03:36:42 	601319a6-3195-467a-9cd4-05701003278a 	/about.png	GET 
 20230615	03:36:43 	4e06bfa7-5ee9-4a65-861c-a6002c93da98 	/new-page.html	GET 
 20230615	03:36:43 	91121499-43e9-48f0-aa52-cbd9bdb506e8 	/public/style.css	GET 
 20230615	03:36:43 	266ee654-65a3-4522-8b1a-b01e77249234 	/new-page.jpg	GET 
 20230615	03:36:47 	e3668bc9-49a1-4656-b7ba-9a1537664060 	/about.html	GET 
 20230615	03:36:47 	06e5fd1d-9d1e-4234-a362-69c7b7febb74 	/public/style.css	GET 
 20230615	03:36:47 	2b7a6b32-58b9-4b29-880d-3a4476b39d89 	/about.png	GET 
 20230615	03:36:55 	4b1bb881-59c8-4d7b-a025-e8868ef98d8d 	/public/style.css	GET 
 20230615	03:36:59 	d118cacd-d613-4e84-bf5b-033bd9df1ef6 	/index.html	GET 
 20230615	03:36:59 	95443a3b-68ba-4020-acea-fa9ca558dc2c 	/public/style.css	GET 
 20230615	03:36:59 	27f80d52-bc80-4db8-af18-47e6d55faefb 	/server.jpg	GET 
 20230615	03:37:02 	dc7b00e3-5515-4b62-8576-dc4476c66656 	/public/style.css	GET 
 20230615	03:37:20 	9b5c0a8e-1c51-4ee8-a689-debf10778819 	/new-page.html	GET 
 20230615	03:37:20 	054a3c3f-75bb-4235-bb0f-0a2cdd91bab3 	/public/style.css	GET 
 20230615	03:37:20 	d9207303-1dfe-40db-92d4-e66cb94aca89 	/new-page.jpg	GET 
 20230615	03:37:22 	571b415d-1c3c-421c-800d-c0bb9c3b5a91 	/public/style.css	GET 
 20230615	03:38:32 	404c7b01-d9b2-4678-bc17-6afd9fe3ecc9 	/new-page.html	GET 
 20230615	03:38:32 	60e901fc-3f75-4bc8-b455-c0b6565ca8e3 	/public/style.css	GET 
 20230615	03:38:32 	530ed1ba-aa28-48e8-a274-e0d8dd9cb210 	/new-page.jpg	GET 
 20230615	03:38:40 	2c0b59ad-fccd-4e5d-990b-06ebb92b5a28 	/about.html	GET 
 20230615	03:38:40 	f762255b-b962-4dec-8593-9c04520fd3c4 	/public/style.css	GET 
 20230615	03:38:40 	5a6203d1-76a8-4c5e-86d6-3492bafd7896 	/about.png	GET 
 20230615	03:38:42 	5794bca9-68aa-4740-9a3e-5834f052fee6 	/new-page.html	GET 
 20230615	03:38:42 	356b7ddb-7f0d-451b-92db-c89417f07951 	/public/style.css	GET 
 20230615	03:38:42 	cd83c6b9-fa19-4174-b9e5-80f6ecc92273 	/new-page.jpg	GET 
 20230615	03:38:44 	3e70dff1-3221-49af-ba40-2c9f38e35535 	/index.html	GET 
 20230615	03:38:44 	f694c01a-44bf-4787-884d-0d69058d0f6c 	/public/style.css	GET 
 20230615	03:38:44 	500b4dd2-8768-4bf1-955d-658ce9842723 	/server.jpg	GET 
 20230615	03:39:08 	a1084cc3-6a55-4264-bf15-f4c896eaeae4 	/public/style.css	GET 
 20230615	03:39:12 	6c2c28bc-fea0-41ee-952d-82ce15bab888 	/new-page.html	GET 
 20230615	03:39:12 	4c0bff58-3ec2-4702-ab91-16ded127cbdc 	/public/style.css	GET 
